35943,BIO202 - -BI - -A,HUMAN ANATOMY AND PHYSIOLOGY II,"Mesa Cruz, Jose",Open,45/45,MW (08:00am-09:20am) E GAUD,4
35944,BIO202 - -BI - -B,HUMAN ANATOMY AND PHYSIOLOGY II,"Goldina, Anya",Open,45/45,TH (08:00am-09:20am) E GAUD,4
35945,BIO202 -L-BI - -A,ANATOMY & PHYSIOLOGY II LAB,"Bartlett, Helen",Open,18/18,MF (09:30am-10:50am) L 249,
35946,BIO202 -L-BI - -B,ANATOMY & PHYSIOLOGY II LAB,"Goldina, Anya",Open,18/18,TH (09:30am-10:50am) L 249,
35947,BIO202 -L-BI - -C,ANATOMY & PHYSIOLOGY II LAB,"Mesa Cruz, Jose",Open,18/18,TH (12:30pm-01:50pm) L 249,
35948,BIO202 -L-BI - -D,ANATOMY & PHYSIOLOGY II LAB,"Bartlett, Helen",Open,18/18,MF (11:00am-12:20pm) L 249,
35949,BIO202 -L-BI - -E,ANATOMY & PHYSIOLOGY II LAB,"Bartlett, Helen",Open,18/18,TH (02:00pm-03:20pm) L 249,
35950,BIO212 - -BI - -A,CELL BIOLOGY,"Cavender, Jane",Open,24/24,MWF (08:00am-09:20am) L 250,3
35951,BIO212 -L-BI - -A,CELL BIOLOGY LABORATORY,"Cavender, Jane",Open,16/16,T (12:30pm-03:20pm) L 250,
35972,BIO225 - -BI - -A,GEOGRAPHIC INFORMATION SYSTEMS: FUNDAMENTALS AND APPLICATIONS,"Bowne, David",Open,35/35,TH (12:30pm-01:50pm) E 368,4
,BIO225 - -BI - -A,LAB - GEOGRAPHIC INFORMATION SYSTEMS: FUNDAMENTALS AND APPLICATIONS,,,,F (08:00am-08:50am) E 368,
35952,BIO235 - -BI - -A,GENERAL MICROBIOLOGY,"Cavender, Jane",Open,24/24,TH (08:00am-10:50am) L 150,4
35973,BIO274 - -BI - -A,BIOLOGICAL INTERNSHIP,"Cavender, Jane",Open,10-Oct,By Arrangement,0
35953,BIO322 - -BI - -A,IMMUNOLOGY,"Yorty, Jodi",Open,24/24,MF (11:00am-12:20pm) L 250,3
35954,BIO322 -L-BI - -A,IMMUNOLOGY LABORATORY,"Yorty, Jodi",Open,24/24,W (12:30pm-03:20pm) L 250,
